,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,superseded,tags,total_length,total_surface,total_volume,dendrite_type
371,66.4421272791615,,0.912092380242515,0.274529893775446,60.3928571428571,0.908120206524249,,496085113,3.0,261.859739108344,290.851894062079,dendrite-only,14,34,1850,6,20,75.2425,351.234543942877,368.486317412067,0.1144,0.1144,0.28,379.180914528897,484571248,False,3D Neuron Reconstruction morphology,2157.8156949338,1864.43990459682,128.97096594715,aspiny
372,83.68086939534571,,0.852821652520365,0.339322292355576,23.875,0.992927964386888,,563819177,5.0,99.21849502617941,125.96632858803001,full,20,49,1136,9,29,55.9552,142.921851953264,166.463169713225,0.1144,0.1144,0.28,152.577849573782,523748610,False,3D Neuron Reconstruction morphology,1361.79674710888,1451.7347048912802,121.944419914636,aspiny
373,77.2107529926493,,0.904494076261338,0.40195773545678204,41.7790697674419,0.830579242507014,,650160511,9.0,581.3883548111789,637.830647603346,full,43,88,3606,2,45,96.7767,849.470383528109,363.46922117090105,0.1144,0.1144,0.28,134.661062018251,478110866,False,3D Neuron Reconstruction morphology,4063.6816144222103,5142.29147724659,572.694074037321,aspiny
374,66.32448225822479,,0.846586103321383,0.334288740693594,50.613636363636395,0.8318239815363551,,491770543,5.0,212.519742755962,246.283076664259,dendrite-only,22,50,2298,6,28,67.48,306.178787035872,319.828624903843,0.1144,0.1144,0.28,629.9444535230031,320466871,False,3D Neuron Reconstruction morphology,2628.07710911902,2767.29580299042,257.362459593577,aspiny
375,69.3313923438729,,0.8959247972911759,0.600201332732551,110.775510204082,0.995622399701788,,603514391,5.0,465.97433959488603,600.2868318795599,full,25,54,5465,4,29,171.1234,689.065674060739,308.263683440569,0.1144,0.1144,0.28,560.488911976295,545604343,False,3D Neuron Reconstruction morphology,6425.102646450539,12253.0194656151,2061.0855302203304,aspiny
376,72.59934871252979,,0.8515827361656361,0.29541019334742497,34.7647058823529,0.9972160759849109,,614432539,7.0,194.732411479651,288.183574279203,full,17,36,1197,2,19,79.1991,155.443446579855,292.937850820435,0.1144,0.1144,0.28,59.8640087217877,585952606,False,3D Neuron Reconstruction morphology,1440.0602614980899,1334.76969904428,97.53203416835609,aspiny
377,84.291766236987,,0.8391834805659799,0.481154234926423,47.2727272727273,0.9732504905166779,,647493963,4.0,152.429462201308,195.583268868981,full,11,25,1101,3,14,99.3879,219.076428697456,218.78460525070702,0.1144,0.1144,0.28,348.243642923498,593312584,False,3D Neuron Reconstruction morphology,1265.2787750761,1908.2040822811898,229.072625074983,aspiny
378,93.92073258575041,,0.7491754604165021,0.62953415157603,179.0,0.988675496688742,,603514493,2.0,432.45315327262904,536.548160732773,full,4,12,1864,4,8,115.565,456.167484025802,330.931475531449,0.1144,0.1144,0.28,349.25226825427495,571525618,False,3D Neuron Reconstruction morphology,2189.86414415442,4328.93075165453,691.050776524376,aspiny
379,75.88274658556871,,0.802152530977838,0.3541208155498449,58.775,1.0,,599474866,4.0,170.704850215833,207.49493392098802,dendrite-only,20,45,2413,5,25,75.6,273.195160132713,260.76825228533403,0.1144,0.1144,0.28,130.01685681062,554454458,False,3D Neuron Reconstruction morphology,2807.46367163604,3122.4160469581398,281.70608825401,spiny
380,85.7514528809735,,0.8997460177203309,0.633833233761055,44.9210526315789,0.9906851497390419,,614432108,5.0,215.836237942867,233.58226295139,full,19,45,1856,7,26,34.16,338.43932708629904,217.187241139385,0.1144,0.1144,0.28,507.837278843764,565462089,False,3D Neuron Reconstruction morphology,2132.0693628620397,4253.34944382935,702.403309157852,aspiny
